0	0,000000
1	0,704636	
2	0,704608	
3	0,7046	
4	0,704534	
5	0,704221	
6	0,700632	
7	0,679176	
8	0,662288	
9	0,644776	
10	0,642488	
11	0,642529	
12	0,64268	
13	0,642511	
14	0,642856	
15	0,642887	
16	0,650283	
17	0,681408	
18	0,693879	
19	0,698474	
20	0,705383	
21	0,708224	
22	0,709666	
23	0,710472	
24	0,706753	
25	0,686728	
26	0,671306	
27	0,671714	
28	0,681128	
29	0,700437	
30	0,715944	
31	0,736247	
32	0,740603	
33	0,748944	
34	0,757207	
35	0,761265	
36	0,755743	
37	0,710603	
38	0,677654	
39	0,668462	
40	0,668919	
41	0,676394	
42	0,700696	
43	0,721534	
44	0,731578	
45	0,741576	
46	0,754704	
47	0,762671	
48	0,76805	
49	0,775972	
50	0,785211	
51	0,799057	
52	0,807989	
53	0,816226	
54	0,816724	
55	0,808994	
56	0,78157	
57	0,748599	
58	0,735171	
59	0,720543	
60	0,716807	
61	0,716689	
62	0,708378	
63	0,67966	
64	0,662877	
65	0,661347	
66	0,672122	
67	0,708375	
68	0,73026	
69	0,740284	
70	0,752101	
71	0,754688	
72	0,732493	
73	0,706199	
74	0,695142	
75	0,691867	
76	0,689674	
77	0,690274	
78	0,69517	
79	0,713129	
80	0,730836	
81	0,742227	
82	0,752934	
83	0,750939	
84	0,726335	
85	0,701454	
86	0,693182	
87	0,690048	
88	0,687067	
89	0,684308	
90	0,67431	
91	0,671567	
92	0,67115	
93	0,671404	
94	0,673448	
95	0,694064	
96	0,709285	
97	0,722491	
98	0,736865	
99	0,755394	
100	0,762196	
